Century,Hue Segment,Saturation Segment,Lightness Segment,Percentage
20th Century,1,1,0,0.9230769230769232
20th Century,1,0,5,0.3076923076923077
20th Century,1,0,1,0.3076923076923077
20th Century,1,0,0,0.3076923076923077
20th Century,0,4,4,0.3076923076923077
20th Century,0,4,3,0.6153846153846154
20th Century,0,4,2,1.2307692307692308
20th Century,0,4,1,1.5384615384615383
20th Century,0,4,0,1.8461538461538465
20th Century,0,3,3,0.6153846153846154
20th Century,0,3,2,1.5384615384615383
20th Century,0,3,1,3.076923076923077
20th Century,0,3,0,5.538461538461538
20th Century,0,2,4,0.6153846153846154
20th Century,0,2,3,1.8461538461538465
20th Century,0,2,2,1.2307692307692308
20th Century,0,2,1,6.769230769230769
20th Century,0,2,0,3.3846153846153846
20th Century,0,1,4,0.3076923076923077
20th Century,0,1,3,1.2307692307692308
20th Century,0,1,2,2.769230769230769
20th Century,0,1,1,8.0
20th Century,0,1,0,5.230769230769231
20th Century,0,0,3,1.2307692307692308
20th Century,0,0,2,2.1538461538461537
20th Century,0,0,1,4.615384615384616
20th Century,0,0,0,4.3076923076923075
